file,name,model,nb,method,auc
SD_UNet_5_from_SV_2.ckpt,SD_UNet_5_from_SV,UNet,5,SV,0.800305393819916
SD_UNet_15_from_SV_2.ckpt,SD_UNet_15_from_SV,UNet,15,SV,0.850200061892536
SD_UNet_30_from_SV_2.ckpt,SD_UNet_30_from_SV,UNet,30,SV,0.92541020997616
SD_UNet_1_from_SV_3.ckpt,SD_UNet_1_from_SV,UNet,1,SV,0.807120564368238
SD_UNet_5_from_SV_3.ckpt,SD_UNet_5_from_SV,UNet,5,SV,0.872924479644233
SD_UNet_15_from_SV_3.ckpt,SD_UNet_15_from_SV,UNet,15,SV,0.865486142948835
SD_UNet_30_from_SV_3.ckpt,SD_UNet_30_from_SV,UNet,30,SV,0.934971804511278
SD_UNet_1_from_SV_4.ckpt,SD_UNet_1_from_SV,UNet,1,SV,0.742068700715203
SD_UNet_5_from_SV_4.ckpt,SD_UNet_5_from_SV,UNet,5,SV,0.851850300293416
SD_UNet_15_from_SV_4.ckpt,SD_UNet_15_from_SV,UNet,15,SV,0.896402381716486
SD_UNet_30_from_SV_4.ckpt,SD_UNet_30_from_SV,UNet,30,SV,0.918424376490006
SD_CNNet_1_from_scratch_0.ckpt,SD_CNNet_1_from_scratch,CNNet,1,scratch,0.717702010361269
SD_CNNet_5_from_scratch_0.ckpt,SD_CNNet_5_from_scratch,CNNet,5,scratch,0.802528997799377
SD_CNNet_15_from_scratch_0.ckpt,SD_CNNet_15_from_scratch,CNNet,15,scratch,0.853481913625527
SD_CNNet_30_from_scratch_0.ckpt,SD_CNNet_30_from_scratch,CNNet,30,scratch,0.924505604713002
SD_CNNet_1_from_scratch_1.ckpt,SD_CNNet_1_from_scratch,CNNet,1,scratch,0.570294619933981
SD_CNNet_5_from_scratch_1.ckpt,SD_CNNet_5_from_scratch,CNNet,5,scratch,0.822000045846323
SD_CNNet_15_from_scratch_1.ckpt,SD_CNNet_15_from_scratch,CNNet,15,scratch,0.700234217403264
SD_CNNet_30_from_scratch_1.ckpt,SD_CNNet_30_from_scratch,CNNet,30,scratch,0.907135750962773
SD_CNNet_1_from_scratch_2.ckpt,SD_CNNet_1_from_scratch,CNNet,1,scratch,0.58331073491656
SD_CNNet_5_from_scratch_2.ckpt,SD_CNNet_5_from_scratch,CNNet,5,scratch,0.700124988538419
SD_CNNet_15_from_scratch_2.ckpt,SD_CNNet_15_from_scratch,CNNet,15,scratch,0.908353486612874
SD_CNNet_30_from_scratch_2.ckpt,SD_CNNet_30_from_scratch,CNNet,30,scratch,0.906416536768751
SD_CNNet_1_from_scratch_3.ckpt,SD_CNNet_1_from_scratch,CNNet,1,scratch,0.670409063818082
SD_CNNet_5_from_scratch_3.ckpt,SD_CNNet_5_from_scratch,CNNet,5,scratch,0.738651545021089
SD_CNNet_15_from_scratch_3.ckpt,SD_CNNet_15_from_scratch,CNNet,15,scratch,0.745998590225564
SD_CNNet_30_from_scratch_3.ckpt,SD_CNNet_30_from_scratch,CNNet,30,scratch,0.855737610031175
SD_CNNet_1_from_scratch_4.ckpt,SD_CNNet_1_from_scratch,CNNet,1,scratch,0.55881808178984
SD_CNNet_5_from_scratch_4.ckpt,SD_CNNet_5_from_scratch,CNNet,5,scratch,0.667410198514579
SD_CNNet_15_from_scratch_4.ckpt,SD_CNNet_15_from_scratch,CNNet,15,scratch,0.875208142306987
SD_CNNet_30_from_scratch_4.ckpt,SD_CNNet_30_from_scratch,CNNet,30,scratch,0.901770298459564
SD_CNNet_1_from_SV_0.ckpt,SD_CNNet_1_from_SV,CNNet,1,SV,0.856774883091876
SD_CNNet_5_from_SV_0.ckpt,SD_CNNet_5_from_SV,CNNet,5,SV,0.902431001283697
SD_CNNet_15_from_SV_0.ckpt,SD_CNNet_15_from_SV,CNNet,15,SV,0.906086385934348
SD_CNNet_30_from_SV_0.ckpt,SD_CNNet_30_from_SV,CNNet,30,SV,0.919736956721071
SD_CNNet_1_from_SV_1.ckpt,SD_CNNet_1_from_SV,CNNet,1,SV,0.816259111956721
SD_CNNet_5_from_SV_1.ckpt,SD_CNNet_5_from_SV,CNNet,5,SV,0.876013719512195
