datetime,trip,lon,lat,step_speed,step_direction,gaps,pressure,dive,lon_std,lat_std,step_speed_std,step_direction_cos,step_direction_sin,prediction
2015-10-02 15:54:41,F0915_24_SS_T1,-32.263401,-3.753968,0.0,0.0,0.0,0.06,0,0.45055785411283217,-1.0394326145399264,0.0,1.0,0.0,0.5238095238095238
2015-10-02 15:54:56,F0915_24_SS_T1,-32.263401,-3.753968,0.0,0.0,0.0,0.06,0,0.45055785411283217,-1.0394326145399264,0.0,1.0,0.0,0.5238095238095238
2015-10-02 15:55:11,F0915_24_SS_T1,-32.263401,-3.753968,0.0,0.0,0.0,0.06,0,0.45055785411283217,-1.0394326145399264,0.0,1.0,0.0,0.5238095238095238
2015-10-02 15:55:26,F0915_24_SS_T1,-32.2634733333333,-3.75386666666667,0.9232327126086821,-35.461674942101496,0.0,0.12,0,0.4486358239074066,-1.0353845912141462,0.04559106491255928,0.8145037675043527,-0.5801582652356297,0.5158730158730159
2015-10-02 15:55:41,F0915_24_SS_T1,-32.263622600000005,-3.75365915,1.8955544186426698,-0.207469709229713,0.0,0.12,0,0.4446695330014223,-1.0270947987089392,0.09360624181246524,0.9999934440797558,-0.0036210216111500475,0.5238095238095238
2015-10-02 15:55:56,F0915_24_SS_T1,-32.2636916,-3.7535864,0.7433113845247521,-7.75401742493307,0.0,0.12,0,0.44283607561577415,-1.0241886109100056,0.03670619240338386,0.9908564395689998,-0.134920406776162,0.5238095238095238
2015-10-02 15:56:11,F0915_24_SS_T1,-32.263709999999996,-3.753567,0.19821637412761497,1.58791522153479e-07,0.0,0.06,0,0.4423471536463812,-1.0234136274969448,0.009788318217245162,1.0,2.771434885831725e-09,0.5158730158730159
2015-10-02 15:56:26,F0915_24_SS_T1,-32.2637151428571,-3.75355461904762,0.099456615307217,20.909470009853898,0.0,-0.01,0,0.44221049843849813,-1.022919038180857,0.004911365187269607,0.9341454988868056,0.35689240242616677,0.5158730158730159
2015-10-02 15:56:41,F0915_24_SS_T1,-32.263734428571404,-3.75350819047619,0.37296230915287704,-1.1296330058030399e-06,0.0,-0.01,0,0.44169804140478275,-1.0210643282452887,0.018417619538719662,0.9999999999999998,-1.9715815290463258e-08,0.5158730158730159
2015-10-02 15:56:56,F0915_24_SS_T1,-32.26331914285711,-3.7531070476190496,4.2799472501743,68.4446558166958,0.0,0.06,0,0.45273294952177545,-1.005039634402606,0.21135229529906402,0.36739978149494074,0.9300631164375189,0.5238095238095238
